"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"10:24:32.638, 11 giu 2023","12,5","0,0","385.876.000","138.214.368"
"10:24:33.640, 11 giu 2023","12,0","0,0","385.876.000","82.105.536"
"10:24:34.641, 11 giu 2023","12,2","0,0","385.876.000","34.163.288"
"10:24:35.642, 11 giu 2023","13,0","0,0","385.876.000","232.987.784"
"10:24:36.643, 11 giu 2023","12,4","0,0","385.876.000","214.037.600"
"10:24:37.645, 11 giu 2023","12,2","0,0","385.876.000","100.199.984"
"10:24:38.646, 11 giu 2023","12,8","0,0","385.876.000","66.025.632"
"10:24:39.647, 11 giu 2023","12,2","0,0","385.876.000","16.711.696"
"10:24:40.648, 11 giu 2023","13,3","0,0","385.876.000","190.093.784"
"10:24:41.649, 11 giu 2023","14,5","0,1","385.876.000","117.101.248"
"10:24:42.651, 11 giu 2023","12,2","0,1","385.876.000","39.452.896"
"10:24:43.652, 11 giu 2023","12,2","0,0","385.876.000","188.239.440"
"10:24:44.653, 11 giu 2023","12,3","0,1","385.876.000","128.246.016"
"10:24:45.654, 11 giu 2023","13,1","0,0","385.876.000","64.982.008"
"10:24:46.655, 11 giu 2023","13,4","0,0","385.876.000","44.231.952"
"10:24:47.656, 11 giu 2023","12,2","0,0","385.876.000","19.093.728"
"10:24:48.657, 11 giu 2023","13,0","0,0","385.876.000","207.804.240"
"10:24:49.659, 11 giu 2023","13,6","0,0","385.876.000","172.581.312"
"10:24:50.660, 11 giu 2023","12,5","0,1","385.876.000","118.001.000"
"10:24:51.662, 11 giu 2023","13,8","0,1","385.876.000","48.754.176"
"10:24:52.663, 11 giu 2023","12,6","0,0","385.876.000","210.234.880"
"10:24:53.667, 11 giu 2023","12,4","0,0","385.876.000","147.509.264"
"10:24:54.704, 11 giu 2023","12,6","0,1","385.876.000","95.081.360"
"10:24:55.703, 11 giu 2023","14,9","0,0","385.876.000","47.441.992"
"10:24:56.710, 11 giu 2023","12,4","0,0","385.876.000","17.813.248"
"10:24:57.708, 11 giu 2023","13,1","0,0","385.876.000","195.517.952"
"10:24:58.711, 11 giu 2023","12,2","0,0","385.876.000","181.699.504"
"10:24:59.712, 11 giu 2023","12,8","0,0","385.876.000","132.121.472"
"10:25:00.712, 11 giu 2023","12,3","0,0","385.876.000","225.811.008"
"10:25:01.711, 11 giu 2023","12,8","0,0","385.876.000","137.700.480"
"10:25:02.712, 11 giu 2023","13,3","0,0","385.876.000","62.102.384"
"10:25:03.713, 11 giu 2023","13,5","0,0","385.876.000","219.454.080"
"10:25:04.715, 11 giu 2023","13,0","0,1","385.876.000","194.174.296"
"10:25:05.716, 11 giu 2023","12,2","0,1","385.876.000","160.588.288"
"10:25:06.716, 11 giu 2023","12,2","0,1","385.876.000","118.770.960"
"10:25:07.717, 11 giu 2023","16,0","0,1","385.876.000","83.238.784"
"10:25:08.718, 11 giu 2023","13,3","0,1","385.876.000","39.195.904"
"10:25:09.735, 11 giu 2023","13,0","0,0","385.876.000","211.169.856"
"10:25:10.727, 11 giu 2023","13,0","0,1","385.876.000","133.687.568"
"10:25:11.718, 11 giu 2023","14,2","0,1","385.876.000","81.044.008"
"10:25:12.729, 11 giu 2023","12,4","0,0","385.876.000","72.821.216"
"10:25:13.729, 11 giu 2023","13,2","0,0","385.876.000","151.109.296"
"10:25:14.725, 11 giu 2023","13,0","0,0","385.876.000","60.836.496"
"10:25:15.723, 11 giu 2023","14,1","0,0","385.876.000","31.946.624"
"10:25:16.722, 11 giu 2023","12,4","0,0","385.876.000","155.903.344"
"10:25:17.722, 11 giu 2023","14,5","0,1","385.876.000","59.368.168"
"10:25:18.723, 11 giu 2023","12,3","0,0","385.876.000","197.684.224"
"10:25:19.724, 11 giu 2023","12,2","0,1","385.876.000","113.897.264"
"10:25:20.737, 11 giu 2023","13,9","0,0","385.876.000","47.958.096"
"10:25:21.738, 11 giu 2023","12,3","0,0","385.876.000","186.676.888"
"10:25:22.728, 11 giu 2023","12,0","0,0","385.876.000","81.706.288"
"10:25:23.741, 11 giu 2023","14,4","0,0","385.876.000","228.348.032"
"10:25:24.739, 11 giu 2023","13,3","0,0","385.876.000","151.366.912"
"10:25:25.732, 11 giu 2023","12,7","0,0","385.876.000","190.979.296"
"10:25:26.729, 11 giu 2023","12,3","0,0","385.876.000","47.908.640"
"10:25:27.730, 11 giu 2023","12,2","0,0","385.876.000","182.170.696"
"10:25:28.728, 11 giu 2023","13,0","0,1","385.876.000","83.714.448"
"10:25:29.734, 11 giu 2023","12,2","0,0","385.876.000","219.901.952"
"10:25:30.732, 11 giu 2023","13,4","0,0","385.876.000","125.431.024"
"10:25:31.735, 11 giu 2023","14,5","0,1","385.876.000","77.274.376"
"10:25:32.735, 11 giu 2023","12,8","0,1","385.876.000","43.977.568"
"10:25:33.734, 11 giu 2023","13,2","0,0","385.876.000","232.729.888"
"10:25:34.735, 11 giu 2023","12,4","0,1","385.876.000","178.192.416"
"10:25:35.749, 11 giu 2023","18,9","0,1","385.876.000","96.552.792"
"10:25:36.735, 11 giu 2023","12,2","0,0","385.876.000","237.074.248"
"10:25:37.734, 11 giu 2023","13,2","0,1","385.876.000","149.145.120"
"10:25:38.735, 11 giu 2023","12,6","0,0","385.876.000","58.330.112"
"10:25:39.736, 11 giu 2023","12,6","0,0","385.876.000","230.126.144"
"10:25:40.747, 11 giu 2023","12,9","0,0","385.876.000","163.302.856"
"10:25:41.738, 11 giu 2023","13,0","0,0","385.876.000","47.536.768"
"10:25:42.740, 11 giu 2023","11,8","0,0","385.876.000","194.234.464"
"10:25:43.739, 11 giu 2023","13,1","0,0","385.876.000","127.065.264"
"10:25:44.738, 11 giu 2023","12,2","0,0","385.876.000","94.379.280"
"10:25:45.748, 11 giu 2023","12,6","0,1","385.876.000","63.815.616"
"10:25:46.741, 11 giu 2023","13,4","0,0","385.876.000","235.834.976"
"10:25:47.743, 11 giu 2023","12,2","0,1","385.876.000","209.004.288"
"10:25:48.745, 11 giu 2023","18,9","0,1","385.876.000","173.053.168"
"10:25:49.743, 11 giu 2023","12,2","0,1","385.876.000","131.003.744"
"10:25:50.746, 11 giu 2023","13,9","0,1","385.876.000","82.773.888"
"10:25:51.748, 11 giu 2023","13,0","0,0","385.876.000","12.345.744"
"10:25:52.748, 11 giu 2023","12,4","0,0","385.876.000","213.814.656"
"10:25:53.749, 11 giu 2023","12,4","0,0","385.876.000","186.529.328"
"10:25:54.750, 11 giu 2023","11,9","0,0","385.876.000","128.154.384"
"10:25:55.751, 11 giu 2023","13,2","0,0","385.876.000","67.385.968"
"10:25:56.752, 11 giu 2023","12,4","0,0","385.876.000","44.509.608"
"10:25:57.753, 11 giu 2023","12,9","0,0","385.876.000","202.019.640"
"10:25:58.761, 11 giu 2023","12,3","0,0","385.876.000","160.141.440"
"10:25:59.755, 11 giu 2023","13,2","0,0","385.876.000","24.606.880"
"10:26:00.757, 11 giu 2023","12,2","0,0","385.876.000","144.229.840"
"10:26:01.758, 11 giu 2023","13,0","0,0","385.876.000","222.764.640"
"10:26:02.760, 11 giu 2023","12,2","0,0","385.876.000","141.254.880"
"10:26:03.761, 11 giu 2023","13,0","0,0","385.876.000","53.178.800"
"10:26:04.762, 11 giu 2023","13,0","0,0","385.876.000","223.230.992"
"10:26:05.764, 11 giu 2023","13,8","0,0","385.876.000","155.621.840"
"10:26:06.766, 11 giu 2023","12,2","0,0","385.876.000","99.125.248"
"10:26:07.767, 11 giu 2023","12,4","0,0","385.876.000","16.699.136"
"10:26:08.769, 11 giu 2023","13,6","0,0","385.876.000","185.452.480"
"10:26:09.770, 11 giu 2023","12,0","0,0","385.876.000","132.114.688"
"10:26:10.771, 11 giu 2023","13,5","0,0","385.876.000","67.824.648"
"10:26:11.772, 11 giu 2023","13,0","0,0","385.876.000","207.869.944"
"10:26:12.774, 11 giu 2023","12,2","0,0","385.876.000","73.905.248"
"10:26:13.776, 11 giu 2023","13,5","0,0","385.876.000","220.840.736"
"10:26:14.777, 11 giu 2023","12,2","0,0","385.876.000","132.775.528"
"10:26:15.778, 11 giu 2023","13,0","0,1","385.876.000","71.231.880"
"10:26:16.779, 11 giu 2023","12,4","0,0","385.876.000","30.082.432"
"10:26:17.781, 11 giu 2023","13,7","0,0","385.876.000","10.876.232"
"10:26:18.782, 11 giu 2023","12,2","0,0","385.876.000","229.008.536"
"10:26:19.783, 11 giu 2023","14,3","0,0","385.876.000","159.358.248"
"10:26:20.784, 11 giu 2023","13,7","0,0","385.876.000","106.835.624"
"10:26:21.786, 11 giu 2023","15,8","0,0","385.876.000","77.399.440"
"10:26:22.787, 11 giu 2023","13,0","0,0","385.876.000","222.032.528"
"10:26:23.787, 11 giu 2023","12,2","0,0","385.876.000","164.534.656"
"10:26:24.788, 11 giu 2023","12,2","0,0","385.876.000","107.915.600"
"10:26:25.790, 11 giu 2023","13,5","0,0","385.876.000","36.498.920"
"10:26:26.792, 11 giu 2023","13,1","0,0","385.876.000","170.936.496"
"10:26:27.793, 11 giu 2023","12,2","0,0","385.876.000","82.752.576"
"10:26:28.795, 11 giu 2023","13,5","0,0","385.876.000","38.106.656"
"10:26:29.796, 11 giu 2023","13,6","0,0","385.876.000","210.369.408"
"10:26:30.797, 11 giu 2023","13,8","0,0","385.876.000","183.537.856"
"10:26:31.798, 11 giu 2023","14,6","0,0","385.876.000","95.444.912"
"10:26:32.799, 11 giu 2023","20,3","0,0","385.876.000","174.386.296"
"10:26:33.800, 11 giu 2023","17,1","0,0","385.876.000","96.018.600"
"10:26:34.802, 11 giu 2023","13,0","0,0","385.876.000","75.184.776"
"10:26:35.803, 11 giu 2023","12,2","0,0","385.876.000","45.904.888"
"10:26:36.804, 11 giu 2023","12,2","0,0","385.876.000","203.213.320"
"10:26:37.805, 11 giu 2023","12,0","0,0","385.876.000","109.333.664"
"10:26:38.806, 11 giu 2023","13,1","0,0","385.876.000","180.030.544"
"10:26:39.807, 11 giu 2023","12,2","0,0","385.876.000","94.578.704"
"10:26:40.808, 11 giu 2023","13,5","0,0","385.876.000","84.172.736"
"10:26:41.809, 11 giu 2023","13,0","0,0","385.876.000","72.292.864"
"10:26:42.810, 11 giu 2023","12,2","0,0","385.876.000","58.570.496"
"10:26:43.812, 11 giu 2023","13,6","0,0","385.876.000","9.990.328"
"10:26:44.813, 11 giu 2023","12,1","0,0","385.876.000","167.456.792"
"10:26:45.814, 11 giu 2023","13,4","0,1","385.876.000","124.558.320"
"10:26:46.815, 11 giu 2023","13,2","0,0","385.876.000","214.027.376"
"10:26:47.816, 11 giu 2023","12,0","0,0","385.876.000","121.226.600"
"10:26:48.817, 11 giu 2023","12,4","0,0","385.876.000","60.610.224"
"10:26:49.819, 11 giu 2023","13,0","0,0","385.876.000","207.702.656"
"10:26:50.820, 11 giu 2023","13,7","0,0","385.876.000","119.845.936"
"10:26:51.821, 11 giu 2023","12,8","0,0","385.876.000","83.141.760"
"10:26:52.822, 11 giu 2023","12,4","0,0","385.876.000","221.822.224"
"10:26:53.824, 11 giu 2023","12,4","0,0","385.876.000","147.325.824"
"10:26:54.825, 11 giu 2023","13,0","0,1","385.876.000","84.357.632"
"10:26:55.827, 11 giu 2023","12,2","0,0","385.876.000","45.613.056"
"10:26:56.828, 11 giu 2023","13,1","0,0","385.876.000","102.558.928"
"10:26:57.829, 11 giu 2023","13,2","0,0","385.876.000","41.415.072"
"10:26:58.831, 11 giu 2023","12,8","0,0","385.876.000","190.636.048"
"10:26:59.832, 11 giu 2023","12,2","0,0","385.876.000","135.204.736"
"10:27:00.833, 11 giu 2023","13,4","0,0","385.876.000","76.158.656"
"10:27:01.835, 11 giu 2023","12,4","0,0","385.876.000","176.887.952"
"10:27:02.837, 11 giu 2023","13,0","0,0","385.876.000","223.520.352"
"10:27:03.838, 11 giu 2023","12,2","0,0","385.876.000","114.369.560"
"10:27:04.839, 11 giu 2023","12,6","0,0","385.876.000","82.639.544"
"10:27:05.841, 11 giu 2023","12,2","0,0","385.876.000","70.056.992"
"10:27:06.842, 11 giu 2023","13,8","0,0","385.876.000","49.144.224"
"10:27:07.843, 11 giu 2023","12,3","0,0","385.876.000","204.172.024"
"10:27:08.845, 11 giu 2023","14,1","0,1","385.876.000","140.927.720"
"10:27:09.846, 11 giu 2023","13,7","0,1","385.876.000","52.824.528"
"10:27:10.847, 11 giu 2023","12,2","0,0","385.876.000","178.841.984"
"10:27:11.848, 11 giu 2023","14,2","0,1","385.876.000","73.990.656"
"10:27:12.849, 11 giu 2023","12,4","0,0","385.876.000","202.058.160"
"10:27:13.850, 11 giu 2023","13,3","0,1","385.876.000","109.642.240"
"10:27:14.851, 11 giu 2023","13,5","0,1","385.876.000","21.443.632"
"10:27:15.852, 11 giu 2023","12,5","0,0","385.876.000","182.366.048"
"10:27:16.853, 11 giu 2023","12,8","0,0","385.876.000","103.971.072"
"10:27:17.854, 11 giu 2023","11,8","0,0","385.876.000","34.690.528"
"10:27:18.856, 11 giu 2023","12,6","0,0","385.876.000","166.680.136"
"10:27:19.857, 11 giu 2023","13,4","0,1","385.876.000","93.667.840"
"10:27:20.858, 11 giu 2023","14,3","0,1","385.876.000","49.820.304"
"10:27:21.859, 11 giu 2023","13,2","0,0","385.876.000","221.709.568"
"10:27:22.860, 11 giu 2023","12,0","0,1","385.876.000","154.725.352"
"10:27:23.861, 11 giu 2023","13,0","0,0","385.876.000","116.630.080"
"10:27:24.863, 11 giu 2023","12,2","0,0","385.876.000","87.199.728"
"10:27:25.863, 11 giu 2023","13,8","0,0","385.876.000","74.594.256"
"10:27:26.864, 11 giu 2023","12,4","0,0","385.876.000","70.425.232"
"10:27:27.865, 11 giu 2023","13,0","0,0","385.876.000","156.457.976"
"10:27:28.866, 11 giu 2023","12,4","0,0","385.876.000","32.714.752"
"10:27:29.868, 11 giu 2023","12,4","0,0","385.876.000","139.551.984"
"10:27:30.869, 11 giu 2023","11,8","0,0","385.876.000","19.999.272"
"10:27:31.871, 11 giu 2023","13,0","0,0","385.876.000","160.438.400"
"10:27:32.872, 11 giu 2023","13,6","0,0","385.876.000","52.065.504"
"10:27:33.873, 11 giu 2023","12,6","0,0","385.876.000","200.996.288"
"10:27:34.874, 11 giu 2023","12,8","0,0","385.876.000","114.654.720"
"10:27:35.876, 11 giu 2023","13,1","0,0","385.876.000","54.034.136"
"10:27:36.878, 11 giu 2023","12,6","0,0","385.876.000","228.128.232"
"10:27:37.879, 11 giu 2023","12,5","0,0","385.876.000","101.605.912"
"10:27:38.881, 11 giu 2023","12,5","0,0","385.876.000","164.627.312"
"10:27:39.882, 11 giu 2023","13,7","0,0","385.876.000","119.215.560"
"10:27:40.883, 11 giu 2023","12,3","0,0","385.876.000","65.681.680"
"10:27:41.884, 11 giu 2023","14,5","0,1","385.876.000","42.535.936"
"10:27:42.886, 11 giu 2023","12,4","0,0","385.876.000","227.181.320"
"10:27:43.887, 11 giu 2023","13,0","0,1","385.876.000","177.137.856"
"10:27:44.889, 11 giu 2023","12,0","0,1","385.876.000","128.712.112"
"10:27:45.890, 11 giu 2023","12,6","0,0","385.876.000","197.822.160"
"10:27:46.891, 11 giu 2023","13,1","0,1","385.876.000","68.706.592"
"10:27:47.892, 11 giu 2023","13,5","0,0","385.876.000","192.468.800"
"10:27:48.893, 11 giu 2023","12,4","0,1","385.876.000","102.179.968"
"10:27:49.894, 11 giu 2023","12,2","0,0","385.876.000","236.527.856"
"10:27:50.895, 11 giu 2023","12,4","0,1","385.876.000","156.711.168"
"10:27:51.897, 11 giu 2023","13,2","0,0","385.876.000","108.593.160"
"10:27:52.899, 11 giu 2023","12,2","0,0","385.876.000","34.578.808"
"10:27:53.900, 11 giu 2023","12,4","0,0","385.876.000","193.992.576"
"10:27:54.902, 11 giu 2023","13,6","0,0","385.876.000","140.813.832"
"10:27:55.903, 11 giu 2023","13,0","0,0","385.876.000","91.774.992"
"10:27:56.904, 11 giu 2023","12,4","0,0","385.876.000","163.652.944"
"10:27:57.906, 11 giu 2023","14,0","0,0","385.876.000","100.010.200"
"10:27:58.907, 11 giu 2023","14,9","0,0","385.876.000","57.931.000"
"10:27:59.908, 11 giu 2023","13,4","0,0","385.876.000","164.816.192"
"10:28:00.909, 11 giu 2023","12,8","0,0","385.876.000","39.402.296"
"10:28:01.911, 11 giu 2023","13,7","0,0","385.876.000","196.767.232"
"10:28:02.912, 11 giu 2023","12,4","0,0","385.876.000","63.252.016"
"10:28:03.913, 11 giu 2023","12,0","0,0","385.876.000","216.479.808"
"10:28:04.915, 11 giu 2023","15,0","0,1","385.876.000","134.762.464"
"10:28:05.917, 11 giu 2023","12,2","0,0","385.876.000","237.528.720"
"10:28:06.918, 11 giu 2023","12,4","0,0","385.876.000","171.459.656"
"10:28:07.919, 11 giu 2023","12,8","0,0","385.876.000","31.719.648"
"10:28:08.920, 11 giu 2023","13,5","0,0","385.876.000","159.953.720"
"10:28:09.921, 11 giu 2023","12,4","0,0","385.876.000","69.746.848"
"10:28:10.923, 11 giu 2023","13,1","0,0","385.876.000","214.496.272"
"10:28:11.924, 11 giu 2023","13,2","0,1","385.876.000","124.300.080"
"10:28:12.925, 11 giu 2023","12,6","0,0","385.876.000","46.413.736"
"10:28:13.926, 11 giu 2023","12,4","0,0","385.876.000","201.307.648"
"10:28:14.927, 11 giu 2023","13,8","0,0","385.876.000","74.602.880"
"10:28:15.928, 11 giu 2023","14,1","0,0","385.876.000","229.742.560"
"10:28:16.929, 11 giu 2023","13,3","0,0","385.876.000","209.831.520"
"10:28:17.930, 11 giu 2023","12,0","0,0","385.876.000","172.113.704"
"10:28:18.931, 11 giu 2023","13,0","0,1","385.876.000","87.448.344"
"10:28:19.932, 11 giu 2023","14,2","0,1","385.876.000","28.870.640"
"10:28:20.934, 11 giu 2023","12,2","0,0","385.876.000","196.793.088"
"10:28:21.936, 11 giu 2023","12,2","0,1","385.876.000","135.869.672"
"10:28:22.937, 11 giu 2023","13,5","0,1","385.876.000","79.129.216"
"10:28:23.938, 11 giu 2023","13,1","0,0","385.876.000","184.099.560"
"10:28:24.939, 11 giu 2023","12,6","0,0","385.876.000","66.051.968"
"10:28:25.940, 11 giu 2023","14,1","0,0","385.876.000","11.494.672"
"10:28:26.942, 11 giu 2023","13,4","0,0","385.876.000","190.087.696"
"10:28:27.943, 11 giu 2023","12,2","0,0","385.876.000","139.923.712"
"10:28:28.945, 11 giu 2023","12,2","0,0","385.876.000","85.282.496"
"10:28:29.946, 11 giu 2023","15,3","0,0","385.876.000","220.264.000"
"10:28:30.947, 11 giu 2023","11,8","0,0","385.876.000","126.851.712"
"10:28:31.949, 11 giu 2023","13,4","0,1","385.876.000","70.669.504"
"10:28:32.951, 11 giu 2023","12,8","0,0","385.876.000","232.184.896"
"10:28:33.952, 11 giu 2023","12,2","0,0","385.876.000","180.841.024"
"10:28:34.954, 11 giu 2023","12,2","0,1","385.876.000","110.057.024"
"10:28:35.955, 11 giu 2023","13,2","0,0","385.876.000","50.440.576"
"10:28:36.956, 11 giu 2023","12,9","0,0","385.876.000","170.736.968"
"10:28:37.958, 11 giu 2023","12,2","0,0","385.876.000","136.437.632"
"10:28:38.959, 11 giu 2023","13,3","0,0","385.876.000","67.361.216"
"10:28:39.960, 11 giu 2023","11,9","0,0","385.876.000","236.567.080"
"10:28:40.961, 11 giu 2023","14,3","0,0","385.876.000","184.229.536"
"10:28:41.962, 11 giu 2023","12,2","0,0","385.876.000","116.822.080"
"10:28:42.964, 11 giu 2023","13,5","0,0","385.876.000","43.706.152"
"10:28:43.966, 11 giu 2023","12,2","0,0","385.876.000","192.595.200"
"10:28:44.967, 11 giu 2023","13,2","0,0","385.876.000","106.901.280"
"10:28:45.968, 11 giu 2023","13,0","0,0","385.876.000","65.854.648"
"10:28:46.969, 11 giu 2023","12,4","0,0","385.876.000","221.910.328"
"10:28:47.969, 11 giu 2023","13,9","0,0","385.876.000","65.442.368"
"10:28:48.970, 11 giu 2023","12,6","0,0","385.876.000","214.548.992"
"10:28:49.971, 11 giu 2023","13,6","0,0","385.876.000","150.550.072"
"10:28:50.972, 11 giu 2023","12,4","0,0","385.876.000","88.181.376"
"10:28:51.973, 11 giu 2023","12,4","0,0","385.876.000","35.457.160"
"10:28:52.974, 11 giu 2023","12,2","0,0","385.876.000","234.467.648"
"10:28:53.975, 11 giu 2023","12,8","0,0","385.876.000","152.720.192"
"10:28:54.976, 11 giu 2023","13,0","0,0","385.876.000","56.754.192"
"10:28:55.977, 11 giu 2023","12,2","0,0","385.876.000","38.021.760"
"10:28:56.979, 11 giu 2023","14,3","0,0","385.876.000","15.040.968"
"10:28:57.980, 11 giu 2023","12,4","0,0","385.876.000","151.413.600"
"10:28:58.981, 11 giu 2023","13,0","0,0","385.876.000","74.328.432"
"10:28:59.983, 11 giu 2023","12,6","0,0","385.876.000","23.391.160"
"10:29:00.985, 11 giu 2023","12,4","0,0","385.876.000","176.499.232"
"10:29:01.987, 11 giu 2023","13,0","0,0","385.876.000","139.036.456"
"10:29:02.988, 11 giu 2023","12,2","0,0","385.876.000","99.253.056"
"10:29:03.989, 11 giu 2023","12,2","0,0","385.876.000","57.312.120"
"10:29:04.990, 11 giu 2023","13,0","0,0","385.876.000","178.265.216"
"10:29:05.991, 11 giu 2023","12,2","0,0","385.876.000","120.755.832"
"10:29:06.993, 11 giu 2023","13,6","0,1","385.876.000","93.890.856"
"10:29:07.994, 11 giu 2023","13,0","0,1","385.876.000","62.372.480"
"10:29:08.995, 11 giu 2023","12,3","0,0","385.876.000","211.386.880"
"10:29:09.997, 11 giu 2023","12,2","0,0","385.876.000","93.037.952"
"10:29:10.999, 11 giu 2023","13,5","0,0","385.876.000","154.789.768"
"10:29:12.000, 11 giu 2023","13,0","0,0","385.876.000","68.881.408"
"10:29:13.001, 11 giu 2023","11,8","0,0","385.876.000","211.613.096"
"10:29:14.003, 11 giu 2023","13,0","0,0","385.876.000","125.414.288"
"10:29:15.004, 11 giu 2023","14,5","0,1","385.876.000","24.853.080"
"10:29:16.005, 11 giu 2023","12,2","0,0","385.876.000","180.304.624"
"10:29:17.006, 11 giu 2023","12,8","0,0","385.876.000","129.315.600"
"10:29:18.007, 11 giu 2023","13,6","0,0","385.876.000","46.173.656"
"10:29:19.008, 11 giu 2023","13,0","0,0","385.876.000","25.203.056"
"10:29:20.009, 11 giu 2023","12,2","0,0","385.876.000","167.344.336"
"10:29:21.010, 11 giu 2023","12,4","0,0","385.876.000","96.571.176"
"10:29:22.012, 11 giu 2023","12,9","0,0","385.876.000","229.821.184"
"10:29:23.013, 11 giu 2023","12,6","0,0","385.876.000","160.941.712"
"10:29:24.014, 11 giu 2023","12,4","0,0","385.876.000","105.579.040"
"10:29:25.015, 11 giu 2023","15,7","0,1","385.876.000","47.527.192"
"10:29:26.016, 11 giu 2023","13,0","0,0","385.876.000","215.341.952"
"10:29:27.017, 11 giu 2023","13,8","0,0","385.876.000","153.097.824"
"10:29:28.019, 11 giu 2023","12,6","0,0","385.876.000","80.676.560"
"10:29:29.021, 11 giu 2023","12,7","0,0","385.876.000","13.487.520"
"10:29:30.022, 11 giu 2023","12,3","0,0","385.876.000","26.170.936"
"10:29:31.023, 11 giu 2023","13,5","0,0","385.876.000","116.445.728"
"10:29:32.024, 11 giu 2023","13,7","0,0","385.876.000","215.167.632"
