"Time [ms]","Size [B]","Used [B]","CPU usage [%]","GC activity [%]"
"18:08:23.605, 10 giu 2023","2.296.381.472","2.034.237.440","11,9","0,0"
"18:08:24.607, 10 giu 2023","2.296.381.472","2.034.237.440","12,5","0,0"
"18:08:25.609, 10 giu 2023","2.296.381.472","2.034.237.440","13,0","0,0"
"18:08:26.611, 10 giu 2023","2.296.381.472","2.034.237.440","12,6","0,0"
"18:08:27.611, 10 giu 2023","2.296.381.472","2.034.237.440","12,7","0,0"
"18:08:28.612, 10 giu 2023","2.296.381.472","2.036.334.592","12,9","0,0"
"18:08:29.614, 10 giu 2023","2.296.381.472","2.036.334.592","12,3","0,0"
"18:08:30.616, 10 giu 2023","2.296.381.472","2.036.334.592","12,3","0,0"
"18:08:31.617, 10 giu 2023","2.296.381.472","2.036.334.592","12,8","0,0"
"18:08:32.618, 10 giu 2023","2.296.381.472","2.038.431.744","13,0","0,0"
"18:08:33.619, 10 giu 2023","2.296.381.472","2.038.431.744","12,4","0,0"
"18:08:34.620, 10 giu 2023","2.296.381.472","2.038.431.744","12,2","0,0"
"18:08:35.621, 10 giu 2023","2.296.381.472","2.038.431.744","13,1","0,0"
"18:08:36.623, 10 giu 2023","2.296.381.472","2.038.431.744","12,3","0,0"
"18:08:37.624, 10 giu 2023","2.296.381.472","2.038.431.744","13,0","0,0"
"18:08:38.625, 10 giu 2023","2.296.381.472","2.038.431.744","13,1","0,0"
"18:08:39.627, 10 giu 2023","2.296.381.472","2.040.528.896","12,4","0,0"
"18:08:40.628, 10 giu 2023","2.296.381.472","2.040.528.896","12,9","0,0"
"18:08:41.629, 10 giu 2023","2.296.381.472","2.040.528.896","12,7","0,0"
"18:08:42.631, 10 giu 2023","2.296.381.472","2.042.626.048","14,0","0,0"
"18:08:43.632, 10 giu 2023","2.296.381.472","2.042.626.048","12,2","0,0"
"18:08:44.633, 10 giu 2023","2.296.381.472","2.042.626.048","13,0","0,0"
"18:08:45.634, 10 giu 2023","2.296.381.472","2.042.626.048","12,2","0,0"
"18:08:46.636, 10 giu 2023","2.296.381.472","2.042.626.048","12,2","0,0"
"18:08:47.637, 10 giu 2023","2.296.381.472","2.044.723.200","12,4","0,0"
"18:08:48.638, 10 giu 2023","2.296.381.472","2.044.723.200","13,0","0,0"
"18:08:49.639, 10 giu 2023","2.296.381.472","2.044.723.200","12,2","0,0"
"18:08:50.640, 10 giu 2023","2.296.381.472","2.044.723.200","12,2","0,0"
"18:08:51.641, 10 giu 2023","2.296.381.472","2.044.723.200","12,4","0,0"
"18:08:52.642, 10 giu 2023","2.296.381.472","2.046.820.352","13,0","0,0"
"18:08:53.643, 10 giu 2023","2.296.381.472","2.046.820.352","12,6","0,0"
"18:08:54.645, 10 giu 2023","2.296.381.472","2.046.820.352","12,3","0,0"
"18:08:55.646, 10 giu 2023","2.296.381.472","2.046.820.352","12,3","0,0"
"18:08:56.647, 10 giu 2023","2.296.381.472","2.048.917.504","13,0","0,0"
"18:08:57.648, 10 giu 2023","2.296.381.472","2.048.917.504","12,4","0,0"
"18:08:58.650, 10 giu 2023","2.296.381.472","2.048.917.504","12,4","0,0"
"18:08:59.651, 10 giu 2023","2.296.381.472","2.048.917.504","12,4","0,0"
"18:09:00.652, 10 giu 2023","2.296.381.472","2.051.014.656","13,0","0,0"
"18:09:01.654, 10 giu 2023","2.296.381.472","2.051.014.656","12,2","0,0"
"18:09:02.655, 10 giu 2023","2.296.381.472","2.051.014.656","12,4","0,0"
"18:09:03.656, 10 giu 2023","2.296.381.472","2.051.014.656","12,5","0,0"
"18:09:04.657, 10 giu 2023","2.296.381.472","2.053.111.808","12,2","0,0"
"18:09:05.659, 10 giu 2023","2.296.381.472","2.053.111.808","12,7","0,0"
"18:09:06.660, 10 giu 2023","2.296.381.472","2.053.111.808","12,6","0,0"
"18:09:07.661, 10 giu 2023","2.296.381.472","2.053.111.808","12,4","0,0"
"18:09:08.662, 10 giu 2023","2.296.381.472","2.055.208.960","12,3","0,0"
"18:09:09.664, 10 giu 2023","2.296.381.472","2.055.208.960","13,1","0,0"
"18:09:10.665, 10 giu 2023","2.296.381.472","2.055.208.960","12,6","0,0"
"18:09:11.666, 10 giu 2023","2.296.381.472","2.055.208.960","12,6","0,0"
"18:09:12.667, 10 giu 2023","2.296.381.472","2.055.208.960","12,2","0,0"
"18:09:13.668, 10 giu 2023","2.296.381.472","2.057.306.112","13,1","0,0"
"18:09:14.670, 10 giu 2023","2.296.381.472","2.057.306.112","12,3","0,0"
"18:09:15.671, 10 giu 2023","2.296.381.472","2.057.306.112","12,3","0,0"
"18:09:16.672, 10 giu 2023","2.296.381.472","2.057.306.112","12,2","0,0"
"18:09:17.673, 10 giu 2023","2.296.381.472","2.057.306.112","12,9","0,0"
"18:09:18.674, 10 giu 2023","2.296.381.472","2.059.403.264","13,0","0,0"
"18:09:19.675, 10 giu 2023","2.296.381.472","2.059.403.264","12,6","0,0"
"18:09:20.676, 10 giu 2023","2.296.381.472","2.059.403.264","12,2","0,0"
"18:09:21.678, 10 giu 2023","2.296.381.472","2.059.403.264","12,4","0,0"
"18:09:22.679, 10 giu 2023","2.296.381.472","2.059.403.264","12,7","0,0"
"18:09:23.680, 10 giu 2023","2.296.381.472","2.059.403.264","12,3","0,0"
"18:09:24.682, 10 giu 2023","2.296.381.472","2.061.500.416","13,0","0,0"
"18:09:25.683, 10 giu 2023","2.296.381.472","2.061.500.416","12,4","0,0"
"18:09:26.685, 10 giu 2023","2.296.381.472","2.061.500.416","12,4","0,0"
"18:09:27.687, 10 giu 2023","2.296.381.472","2.061.500.416","12,2","0,0"
"18:09:28.688, 10 giu 2023","2.296.381.472","2.063.597.568","12,7","0,0"
"18:09:29.689, 10 giu 2023","2.296.381.472","2.063.597.568","12,3","0,0"
"18:09:30.691, 10 giu 2023","2.296.381.472","2.063.597.568","13,2","0,0"
"18:09:31.693, 10 giu 2023","2.296.381.472","2.063.597.568","12,4","0,0"
"18:09:32.694, 10 giu 2023","2.296.381.472","2.063.597.568","11,9","0,0"
"18:09:33.695, 10 giu 2023","2.296.381.472","2.065.694.720","13,0","0,0"
"18:09:34.696, 10 giu 2023","2.296.381.472","2.065.694.720","11,7","0,0"
"18:09:35.696, 10 giu 2023","2.296.381.472","2.065.694.720","12,6","0,0"
"18:09:36.697, 10 giu 2023","2.296.381.472","2.065.694.720","13,2","0,0"
"18:09:37.698, 10 giu 2023","2.296.381.472","2.065.694.720","12,4","0,0"
"18:09:38.699, 10 giu 2023","2.296.381.472","2.067.791.872","12,6","0,0"
"18:09:39.700, 10 giu 2023","2.296.381.472","2.067.791.872","12,2","0,0"
"18:09:40.702, 10 giu 2023","2.296.381.472","2.067.791.872","13,0","0,0"
"18:09:41.703, 10 giu 2023","2.296.381.472","2.067.791.872","12,2","0,0"
"18:09:42.704, 10 giu 2023","2.296.381.472","2.067.791.872","12,3","0,0"
"18:09:43.705, 10 giu 2023","2.296.381.472","2.069.889.024","12,2","0,0"
"18:09:44.706, 10 giu 2023","2.296.381.472","2.069.889.024","13,4","0,0"
"18:09:45.707, 10 giu 2023","2.296.381.472","2.069.889.024","12,4","0,0"
"18:09:46.708, 10 giu 2023","2.296.381.472","2.069.889.024","12,2","0,0"
"18:09:47.709, 10 giu 2023","2.296.381.472","2.069.889.024","13,0","0,0"
"18:09:48.710, 10 giu 2023","2.296.381.472","2.069.889.024","12,2","0,0"
"18:09:49.711, 10 giu 2023","2.296.381.472","2.071.986.176","12,2","0,0"
"18:09:50.712, 10 giu 2023","2.296.381.472","2.071.986.176","12,7","0,0"
"18:09:51.713, 10 giu 2023","2.296.381.472","2.071.986.176","12,4","0,0"
"18:09:52.715, 10 giu 2023","2.296.381.472","2.071.986.176","12,2","0,0"
"18:09:53.716, 10 giu 2023","2.296.381.472","2.071.986.176","13,0","0,0"
"18:09:54.717, 10 giu 2023","2.296.381.472","2.074.083.328","12,4","0,0"
"18:09:55.719, 10 giu 2023","2.296.381.472","2.074.083.328","12,2","0,0"
"18:09:56.720, 10 giu 2023","2.296.381.472","2.074.083.328","13,2","0,0"
"18:09:57.721, 10 giu 2023","2.296.381.472","2.074.083.328","12,6","0,0"
"18:09:58.722, 10 giu 2023","2.296.381.472","2.076.180.480","12,3","0,0"
"18:09:59.723, 10 giu 2023","2.296.381.472","2.076.180.480","12,3","0,0"
"18:10:00.724, 10 giu 2023","2.296.381.472","2.076.180.480","12,5","0,0"
"18:10:01.725, 10 giu 2023","2.296.381.472","2.076.180.480","13,1","0,0"
"18:10:02.727, 10 giu 2023","2.296.381.472","2.076.180.480","12,3","0,0"
"18:10:03.729, 10 giu 2023","2.296.381.472","2.078.277.632","12,4","0,0"
"18:10:04.730, 10 giu 2023","2.296.381.472","2.078.277.632","12,4","0,0"
"18:10:05.730, 10 giu 2023","2.296.381.472","2.078.277.632","13,0","0,0"
"18:10:06.731, 10 giu 2023","2.296.381.472","2.078.277.632","12,3","0,0"
"18:10:07.732, 10 giu 2023","2.296.381.472","2.080.374.784","12,5","0,0"
"18:10:08.733, 10 giu 2023","2.296.381.472","2.080.374.784","12,5","0,0"
"18:10:09.734, 10 giu 2023","2.296.381.472","2.080.374.784","13,3","0,0"
"18:10:10.735, 10 giu 2023","2.296.381.472","2.082.471.936","12,4","0,0"
"18:10:11.736, 10 giu 2023","2.296.381.472","2.082.471.936","12,3","0,0"
"18:10:12.737, 10 giu 2023","2.296.381.472","2.082.471.936","13,2","0,0"
"18:10:13.738, 10 giu 2023","2.296.381.472","2.082.471.936","12,5","0,0"
"18:10:14.739, 10 giu 2023","2.296.381.472","2.082.471.936","12,6","0,0"
"18:10:15.741, 10 giu 2023","2.296.381.472","2.084.569.088","13,2","0,0"
"18:10:16.742, 10 giu 2023","2.296.381.472","2.084.569.088","12,2","0,0"
"18:10:17.743, 10 giu 2023","2.296.381.472","2.084.569.088","12,4","0,0"
"18:10:18.745, 10 giu 2023","2.296.381.472","2.084.569.088","12,4","0,0"
"18:10:19.746, 10 giu 2023","2.296.381.472","2.064.646.144","50,8","2,9"
"18:10:20.747, 10 giu 2023","2.296.381.472","2.064.646.144","36,6","0,0"
"18:10:21.748, 10 giu 2023","2.296.381.472","2.064.646.144","36,9","0,0"
"18:10:22.749, 10 giu 2023","2.296.381.472","2.064.646.144","39,3","0,0"
"18:10:23.750, 10 giu 2023","2.296.381.472","2.064.646.144","37,2","0,0"
"18:10:24.751, 10 giu 2023","3.447.717.920","2.064.646.144","36,2","0,0"
"18:10:25.752, 10 giu 2023","3.447.717.920","2.066.743.296","37,8","0,0"
"18:10:26.753, 10 giu 2023","3.447.717.920","2.066.743.296","37,7","0,0"
"18:10:27.754, 10 giu 2023","3.447.717.920","2.066.743.296","36,7","0,0"
"18:10:28.755, 10 giu 2023","3.447.717.920","2.066.743.296","17,5","0,0"
"18:10:29.756, 10 giu 2023","3.447.717.920","2.068.840.448","12,3","0,0"
"18:10:30.758, 10 giu 2023","3.447.717.920","2.068.840.448","12,4","0,0"
"18:10:31.759, 10 giu 2023","3.447.717.920","2.068.840.448","12,2","0,0"
"18:10:32.761, 10 giu 2023","3.447.717.920","2.068.840.448","12,2","0,0"
"18:10:33.763, 10 giu 2023","3.447.717.920","2.068.840.448","13,0","0,0"
"18:10:34.764, 10 giu 2023","3.447.717.920","2.068.840.448","12,4","0,0"
"18:10:35.766, 10 giu 2023","3.447.717.920","2.070.937.600","12,2","0,0"
"18:10:36.768, 10 giu 2023","3.447.717.920","2.070.937.600","12,9","0,0"
"18:10:37.770, 10 giu 2023","3.447.717.920","2.070.937.600","12,4","0,0"
"18:10:38.771, 10 giu 2023","3.447.717.920","2.070.937.600","12,2","0,0"
"18:10:39.772, 10 giu 2023","3.447.717.920","2.070.937.600","13,1","0,0"
"18:10:40.774, 10 giu 2023","3.447.717.920","2.073.034.752","12,2","0,0"
"18:10:41.776, 10 giu 2023","3.447.717.920","2.073.034.752","12,2","0,0"
"18:10:42.778, 10 giu 2023","3.447.717.920","2.073.034.752","12,7","0,0"
"18:10:43.779, 10 giu 2023","3.447.717.920","2.075.131.904","13,1","0,0"
"18:10:44.780, 10 giu 2023","3.447.717.920","2.075.131.904","12,7","0,0"
"18:10:45.781, 10 giu 2023","3.447.717.920","2.075.131.904","12,2","0,0"
"18:10:46.782, 10 giu 2023","3.447.717.920","2.075.131.904","12,2","0,0"
"18:10:47.784, 10 giu 2023","3.447.717.920","2.075.131.904","13,7","0,0"
"18:10:48.785, 10 giu 2023","3.447.717.920","2.075.131.904","12,7","0,0"
"18:10:49.786, 10 giu 2023","3.447.717.920","2.077.229.056","12,2","0,0"
"18:10:50.788, 10 giu 2023","3.447.717.920","2.077.229.056","12,4","0,0"
"18:10:51.789, 10 giu 2023","3.447.717.920","2.077.229.056","13,0","0,0"
"18:10:52.790, 10 giu 2023","3.447.717.920","2.079.326.208","12,4","0,0"
"18:10:53.791, 10 giu 2023","3.447.717.920","2.079.326.208","12,2","0,0"
"18:10:54.793, 10 giu 2023","3.447.717.920","2.079.326.208","13,0","0,0"
"18:10:55.795, 10 giu 2023","3.447.717.920","2.079.326.208","12,4","0,0"
"18:10:56.796, 10 giu 2023","3.447.717.920","2.079.326.208","12,3","0,0"
"18:10:57.797, 10 giu 2023","3.447.717.920","2.081.423.360","12,4","0,0"
"18:10:58.798, 10 giu 2023","3.447.717.920","2.081.423.360","12,4","0,0"
"18:10:59.799, 10 giu 2023","3.447.717.920","2.081.423.360","13,6","0,0"
"18:11:00.800, 10 giu 2023","3.447.717.920","2.083.520.512","12,2","0,0"
"18:11:01.801, 10 giu 2023","3.447.717.920","2.083.520.512","13,0","0,0"
"18:11:02.802, 10 giu 2023","3.447.717.920","2.083.520.512","12,2","0,0"
"18:11:03.803, 10 giu 2023","3.447.717.920","2.083.520.512","12,4","0,0"
"18:11:04.805, 10 giu 2023","3.447.717.920","2.083.520.512","13,1","0,0"
"18:11:05.806, 10 giu 2023","3.447.717.920","2.085.617.664","12,3","0,0"
"18:11:06.807, 10 giu 2023","3.447.717.920","2.085.617.664","12,3","0,0"
"18:11:07.809, 10 giu 2023","3.447.717.920","2.085.617.664","12,3","0,0"
"18:11:08.810, 10 giu 2023","3.447.717.920","2.085.617.664","12,7","0,0"
"18:11:09.811, 10 giu 2023","3.447.717.920","2.085.617.664","13,3","0,0"
"18:11:10.812, 10 giu 2023","3.447.717.920","2.087.714.816","12,4","0,0"
"18:11:11.813, 10 giu 2023","3.447.717.920","2.087.714.816","12,5","0,0"
"18:11:12.814, 10 giu 2023","3.447.717.920","2.087.714.816","13,4","0,0"
"18:11:13.816, 10 giu 2023","3.447.717.920","2.087.714.816","13,5","0,0"
"18:11:14.818, 10 giu 2023","3.447.717.920","2.087.714.816","12,4","0,0"
"18:11:15.820, 10 giu 2023","3.447.717.920","2.087.714.816","12,4","0,0"
"18:11:16.821, 10 giu 2023","3.447.717.920","2.087.714.816","12,5","0,0"
"18:11:17.822, 10 giu 2023","3.447.717.920","2.089.811.968","12,6","0,0"
"18:11:18.824, 10 giu 2023","3.447.717.920","2.089.811.968","12,4","0,0"
"18:11:19.825, 10 giu 2023","3.447.717.920","2.089.811.968","13,0","0,0"
"18:11:20.826, 10 giu 2023","3.447.717.920","2.089.811.968","12,3","0,0"
"18:11:21.827, 10 giu 2023","3.447.717.920","2.091.909.120","12,5","0,0"
"18:11:22.828, 10 giu 2023","3.447.717.920","2.091.909.120","12,2","0,0"
"18:11:23.829, 10 giu 2023","3.447.717.920","2.091.909.120","12,0","0,0"
"18:11:24.830, 10 giu 2023","3.447.717.920","2.091.909.120","13,0","0,0"
"18:11:25.831, 10 giu 2023","3.447.717.920","2.091.909.120","12,6","0,0"
"18:11:26.833, 10 giu 2023","3.447.717.920","2.094.006.272","12,4","0,0"
"18:11:27.835, 10 giu 2023","3.447.717.920","2.094.006.272","13,1","0,0"
"18:11:28.837, 10 giu 2023","3.447.717.920","2.094.006.272","12,2","0,0"
"18:11:29.838, 10 giu 2023","3.447.717.920","2.094.006.272","12,2","0,0"
"18:11:30.839, 10 giu 2023","3.447.717.920","2.094.006.272","12,2","0,0"
"18:11:31.841, 10 giu 2023","3.447.717.920","2.094.006.272","13,6","0,0"
"18:11:32.843, 10 giu 2023","3.447.717.920","2.096.103.424","12,4","0,0"
"18:11:33.844, 10 giu 2023","3.447.717.920","2.096.103.424","12,2","0,0"
"18:11:34.845, 10 giu 2023","3.447.717.920","2.096.103.424","13,0","0,0"
"18:11:35.846, 10 giu 2023","3.447.717.920","2.096.103.424","12,7","0,0"
"18:11:36.847, 10 giu 2023","3.447.717.920","2.096.103.424","12,4","0,0"
"18:11:37.849, 10 giu 2023","3.447.717.920","2.098.200.576","12,2","0,0"
"18:11:38.850, 10 giu 2023","3.447.717.920","2.098.200.576","12,3","0,0"
"18:11:39.851, 10 giu 2023","3.447.717.920","2.098.200.576","12,8","0,0"
"18:11:40.853, 10 giu 2023","3.447.717.920","2.098.200.576","13,3","0,0"
"18:11:41.855, 10 giu 2023","3.447.717.920","2.100.297.728","12,2","0,0"
"18:11:42.856, 10 giu 2023","3.447.717.920","2.100.297.728","12,4","0,0"
"18:11:43.857, 10 giu 2023","3.447.717.920","2.100.297.728","12,4","0,0"
"18:11:44.859, 10 giu 2023","3.447.717.920","2.100.297.728","12,5","0,0"
"18:11:45.861, 10 giu 2023","3.447.717.920","2.100.297.728","12,7","0,0"
"18:11:46.862, 10 giu 2023","3.447.717.920","2.102.394.880","13,4","0,0"
"18:11:47.863, 10 giu 2023","3.447.717.920","2.102.394.880","12,3","0,0"
"18:11:48.864, 10 giu 2023","3.447.717.920","2.102.394.880","12,6","0,0"
"18:11:49.865, 10 giu 2023","3.447.717.920","2.104.492.032","12,2","0,0"
"18:11:50.866, 10 giu 2023","3.447.717.920","2.104.492.032","13,3","0,0"
"18:11:51.867, 10 giu 2023","3.447.717.920","2.104.492.032","12,4","0,0"
"18:11:52.868, 10 giu 2023","3.447.717.920","2.104.492.032","12,2","0,0"
"18:11:53.869, 10 giu 2023","3.447.717.920","2.104.492.032","12,2","0,0"
"18:11:54.870, 10 giu 2023","3.447.717.920","2.104.492.032","13,1","0,0"
"18:11:55.871, 10 giu 2023","3.447.717.920","2.106.589.184","12,4","0,0"
"18:11:56.872, 10 giu 2023","3.447.717.920","2.106.589.184","12,5","0,0"
"18:11:57.873, 10 giu 2023","3.447.717.920","2.106.589.184","12,3","0,0"
"18:11:58.874, 10 giu 2023","3.447.717.920","2.106.589.184","13,3","0,0"
"18:11:59.875, 10 giu 2023","3.447.717.920","2.106.589.184","12,5","0,0"
"18:12:00.876, 10 giu 2023","3.447.717.920","2.108.686.336","12,4","0,0"
"18:12:01.877, 10 giu 2023","3.447.717.920","2.108.686.336","12,5","0,0"
"18:12:02.878, 10 giu 2023","3.447.717.920","2.108.686.336","12,7","0,0"
"18:12:03.879, 10 giu 2023","3.447.717.920","2.108.686.336","12,4","0,0"
"18:12:04.880, 10 giu 2023","3.447.717.920","2.108.686.336","12,2","0,0"
"18:12:05.882, 10 giu 2023","3.447.717.920","2.108.686.336","13,2","0,0"
"18:12:06.883, 10 giu 2023","3.447.717.920","2.110.783.488","12,2","0,0"
"18:12:07.884, 10 giu 2023","3.447.717.920","2.110.783.488","12,0","0,0"
"18:12:08.885, 10 giu 2023","3.447.717.920","2.110.783.488","12,6","0,0"
"18:12:09.886, 10 giu 2023","3.447.717.920","2.110.783.488","12,4","0,0"
"18:12:10.887, 10 giu 2023","3.447.717.920","2.112.880.640","12,2","0,0"
"18:12:11.888, 10 giu 2023","3.447.717.920","2.112.880.640","13,3","0,0"
"18:12:12.890, 10 giu 2023","3.447.717.920","2.112.880.640","12,4","0,0"
"18:12:13.891, 10 giu 2023","3.447.717.920","2.112.880.640","12,3","0,0"
"18:12:14.893, 10 giu 2023","3.447.717.920","2.114.977.792","12,4","0,0"
"18:12:15.895, 10 giu 2023","3.447.717.920","2.114.977.792","13,0","0,0"
"18:12:16.896, 10 giu 2023","3.447.717.920","2.114.977.792","12,2","0,0"
"18:12:17.898, 10 giu 2023","3.447.717.920","2.114.977.792","12,0","0,0"
"18:12:18.899, 10 giu 2023","3.447.717.920","2.114.977.792","13,1","0,0"
"18:12:19.900, 10 giu 2023","3.447.717.920","2.114.977.792","12,2","0,0"
"18:12:20.901, 10 giu 2023","3.447.717.920","2.117.074.944","12,2","0,0"
"18:12:21.903, 10 giu 2023","3.447.717.920","2.117.074.944","13,0","0,0"
"18:12:22.904, 10 giu 2023","3.447.717.920","2.117.074.944","11,8","0,0"
"18:12:23.905, 10 giu 2023","3.447.717.920","2.117.074.944","12,5","0,0"
"18:12:24.906, 10 giu 2023","3.447.717.920","2.117.074.944","12,3","0,0"
"18:12:25.908, 10 giu 2023","3.447.717.920","2.119.172.096","13,1","0,0"
"18:12:26.910, 10 giu 2023","3.447.717.920","2.119.172.096","12,6","0,0"
"18:12:27.911, 10 giu 2023","3.447.717.920","2.119.172.096","12,6","0,0"
"18:12:28.912, 10 giu 2023","3.447.717.920","2.119.172.096","13,0","0,0"
"18:12:29.914, 10 giu 2023","3.447.717.920","2.119.172.096","12,2","0,0"
"18:12:30.915, 10 giu 2023","3.447.717.920","2.121.269.248","12,0","0,0"
"18:12:31.916, 10 giu 2023","3.447.717.920","2.121.269.248","12,6","0,0"
"18:12:32.917, 10 giu 2023","3.447.717.920","2.121.269.248","13,1","0,0"
"18:12:33.918, 10 giu 2023","3.447.717.920","2.121.269.248","12,3","0,0"
"18:12:34.919, 10 giu 2023","3.447.717.920","2.123.366.400","12,1","0,0"
"18:12:35.920, 10 giu 2023","3.447.717.920","2.123.366.400","12,7","0,0"
"18:12:36.921, 10 giu 2023","3.447.717.920","2.123.366.400","13,1","0,0"
"18:12:37.923, 10 giu 2023","3.447.717.920","2.125.463.552","12,4","0,0"
"18:12:38.924, 10 giu 2023","3.447.717.920","2.125.463.552","12,2","0,0"
"18:12:39.925, 10 giu 2023","3.447.717.920","2.125.463.552","12,8","0,0"
"18:12:40.926, 10 giu 2023","3.447.717.920","2.125.463.552","12,3","0,0"
"18:12:41.927, 10 giu 2023","3.447.717.920","2.125.463.552","13,3","0,0"
"18:12:42.928, 10 giu 2023","3.447.717.920","2.127.560.704","12,6","0,0"
"18:12:43.930, 10 giu 2023","3.447.717.920","2.127.560.704","12,3","0,0"
"18:12:44.931, 10 giu 2023","3.447.717.920","2.129.657.856","12,5","0,0"
"18:12:45.932, 10 giu 2023","3.447.717.920","2.129.657.856","12,5","0,0"
"18:12:46.933, 10 giu 2023","3.447.717.920","2.129.657.856","11,9","0,0"
"18:12:47.935, 10 giu 2023","3.447.717.920","2.129.657.856","12,6","0,0"
"18:12:48.936, 10 giu 2023","3.447.717.920","2.129.657.856","13,3","0,0"
"18:12:49.937, 10 giu 2023","3.447.717.920","2.129.657.856","12,2","0,0"
"18:12:50.938, 10 giu 2023","3.447.717.920","2.131.755.008","12,3","0,0"
"18:12:51.939, 10 giu 2023","3.447.717.920","2.131.755.008","12,9","0,0"
"18:12:52.940, 10 giu 2023","3.447.717.920","2.131.755.008","13,4","0,0"
"18:12:53.942, 10 giu 2023","3.447.717.920","2.131.755.008","12,5","0,0"
"18:12:54.943, 10 giu 2023","3.447.717.920","2.131.755.008","12,7","0,0"
"18:12:55.944, 10 giu 2023","3.447.717.920","2.133.852.160","12,7","0,0"
"18:12:56.946, 10 giu 2023","3.447.717.920","2.133.852.160","12,5","0,0"
"18:12:57.948, 10 giu 2023","3.447.717.920","2.133.852.160","12,9","0,0"
"18:12:58.949, 10 giu 2023","3.447.717.920","2.135.949.312","12,0","0,0"
"18:12:59.951, 10 giu 2023","3.447.717.920","2.135.949.312","13,1","0,0"
"18:13:00.952, 10 giu 2023","3.447.717.920","2.135.949.312","12,4","0,0"
"18:13:01.953, 10 giu 2023","3.447.717.920","2.135.949.312","12,2","0,0"
"18:13:02.954, 10 giu 2023","3.447.717.920","2.135.949.312","12,3","0,0"
"18:13:03.955, 10 giu 2023","3.447.717.920","2.135.949.312","13,4","0,0"
"18:13:04.957, 10 giu 2023","3.447.717.920","2.135.949.312","12,4","0,0"
"18:13:05.958, 10 giu 2023","3.447.717.920","2.138.046.464","12,3","0,0"
"18:13:06.959, 10 giu 2023","3.447.717.920","2.138.046.464","12,5","0,0"
"18:13:07.960, 10 giu 2023","3.447.717.920","2.138.046.464","13,0","0,0"
"18:13:08.961, 10 giu 2023","3.447.717.920","2.138.046.464","12,5","0,0"
"18:13:09.962, 10 giu 2023","3.447.717.920","2.140.143.616","12,6","0,0"
"18:13:10.964, 10 giu 2023","3.447.717.920","2.140.143.616","12,4","0,0"
"18:13:11.965, 10 giu 2023","3.447.717.920","2.140.143.616","12,4","0,0"
"18:13:12.967, 10 giu 2023","3.447.717.920","2.140.143.616","12,3","0,0"
"18:13:13.968, 10 giu 2023","3.447.717.920","2.142.240.768","13,1","0,0"
"18:13:14.969, 10 giu 2023","3.447.717.920","2.142.240.768","12,4","0,0"
"18:13:15.970, 10 giu 2023","3.447.717.920","2.142.240.768","12,2","0,0"
